"ym","品目分類","市区町村コード","市","項目","value"
"202003","米","38201","松山市","購入頻度_100世帯当たり",68
"202003","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",684
"202003","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",297
"202003","殺虫・防虫剤","39201","高知市","支出金額_複数単位",126
"202003","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",13
"202003","米","39201","高知市","支出金額_複数単位",2722
"202003","米","39201","高知市","購入頻度_100世帯当たり",88
"202004","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",699
"202004","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",262
"202004","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",361
"202004","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",37
"202004","米","36201","徳島市","支出金額_複数単位",1666
"202004","米","36201","徳島市","購入頻度_100世帯当たり",69
"202004","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",627
"202004","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",281
"202004","殺虫・防虫剤","37201","高松市","支出金額_複数単位",150
"202004","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",19
"202004","米","37201","高松市","支出金額_複数単位",970
"202004","米","37201","高松市","購入頻度_100世帯当たり",43
"202004","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",594
"202004","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",300
"202004","殺虫・防虫剤","38201","松山市","支出金額_複数単位",180
"202004","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",20
"202004","米","38201","松山市","支出金額_複数単位",1884
"202004","米","38201","松山市","購入頻度_100世帯当たり",69
"202004","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",787
"202004","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",305
"202004","殺虫・防虫剤","39201","高知市","支出金額_複数単位",266
"202004","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",30
"202004","米","39201","高知市","支出金額_複数単位",2553
"202004","米","39201","高知市","購入頻度_100世帯当たり",87
"202005","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",828
"202005","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",358
"202005","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",573
"202005","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",63
"202005","米","36201","徳島市","支出金額_複数単位",1432
"202005","米","36201","徳島市","購入頻度_100世帯当たり",53
"202005","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",1226
"202005","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",478
"202005","殺虫・防虫剤","37201","高松市","支出金額_複数単位",1008
"202005","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",103
"202005","米","37201","高松市","支出金額_複数単位",1377
"202005","米","37201","高松市","購入頻度_100世帯当たり",55
"202005","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",1032
"202005","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",439
"202005","殺虫・防虫剤","38201","松山市","支出金額_複数単位",388
"202005","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",44
"202005","米","38201","松山市","支出金額_複数単位",1492
"202005","米","38201","松山市","購入頻度_100世帯当たり",60
